midi_num,key_num,key_name
108,88,C8
107,87,B7
106,86,A#7/Bb7
105,85,A7
104,84,G#7/Ab7
103,83,G7
102,82,F#7/Gb7
101,81,F7
100,80,E7
99,79,D#7/Eb7
98,78,D7
97,77,C#7/Db7
96,76,C7
95,75,B6
94,74,A#6/Bb6
93,73,A6
92,72,G#6/Ab6
91,71,G6
90,70,F#6/Gb6
89,69,F6
88,68,E6
87,67,D#6/Eb6
86,66,D6
85,65,C#6/Db6
84,64,C6
83,63,B5
82,62,A#5/Bb5
81,61,A5
80,60,G#5/Ab5
79,59,G5
78,58,F#5/Gb5
77,57,F5
76,56,E5
75,55,D#5/Eb5
74,54,D5
73,53,C#5/Db5
72,52,C5
71,51,B4
70,50,A#4/Bb4
69,49,A4 concert pitch
68,48,G#4/Ab4
67,47,G4
66,46,F#4/Gb4
65,45,F4
64,44,E4
63,43,D#4/Eb4
62,42,D4
61,41,C#4/Db4
60,40,C4 (middle C)
59,39,B3
58,38,A#3/Bb3
57,37,A3
56,36,G#3/Ab3
55,35,G3
54,34,F#3/Gb3
53,33,F3
52,32,E3
51,31,D#3/Eb3
50,30,D3
49,29,C#3/Db3
48,28,C3
47,27,B2
46,26,A#2/Bb2
45,25,A2
44,24,G#2/Ab2
43,23,G2
42,22,F#2/Gb2
41,21,F2
40,20,E2
39,19,D#2/Eb2
38,18,D2
37,17,C#2/Db2
36,16,C2
35,15,B1
34,14,A#1/Bb1
33,13,A1
32,12,G#1/Ab1
31,11,G1
30,10,F#1/Gb1
29,9,F1
28,8,E1
27,7,D#1/Eb1
26,6,D1
25,5,C#1/Db1
24,4,C1
23,3,B0
22,2,A#0/Bb0
21,1,A0
